fold,train_start,train_end,test_start,test_end,train_return,train_trades,test_return,test_trades,test_win_rate,test_sharpe,test_max_dd
1,2015-03-31,2016-03-30,2016-03-31,2016-06-28,-0.07142565799835429,86,0.004504267053076619,5,0.8,7.957104323729921,-0.013198327714629183
2,2015-06-30,2016-06-28,2016-06-29,2016-09-27,0.06308930993582268,76,-0.003397744777108601,5,0.4,-0.8969163286312081,-0.009661344577033184
3,2015-09-29,2016-09-27,2016-09-28,2016-12-27,0.029980213870465667,67,0.004525823683013732,3,1.0,15.773414284006563,0.0
4,2015-12-29,2016-12-27,2016-12-28,2017-03-29,0.12677144090205156,59,0.012656859394245549,5,0.8,10.18364218335297,-9.010175076206627e-05
5,2016-03-31,2017-03-29,2017-03-30,2017-06-28,0.15299822887125802,57,-0.007838144168057334,6,0.3333333333333333,-6.052137610820888,-0.009792776475224236
6,2016-06-29,2017-06-28,2017-06-29,2017-09-27,0.17064239111322865,58,-0.006349404373803409,5,0.2,-13.607456770953778,-0.00969112115633514
7,2016-09-28,2017-09-27,2017-09-28,2017-12-27,0.07712698544132815,52,-0.0013985354126269522,5,0.6,-0.5499233665035981,-0.002341135229121137
8,2016-12-28,2017-12-27,2017-12-28,2018-03-29,0.07759032883867753,48,-0.010424810667634302,6,0.3333333333333333,-3.4867648454894424,-0.014410420865693304
9,2017-03-30,2018-03-29,2018-04-02,2018-06-28,0.07971939871209878,60,0.0011150672086444684,5,0.4,0.4901242547589777,-0.003410668005264597
10,2017-06-29,2018-06-28,2018-06-29,2018-09-27,0.1210390606887707,64,0.005715824512944237,5,0.6,2.5264407129815893,-0.0021946873052071897
11,2017-09-28,2018-09-27,2018-09-28,2018-12-28,0.06727231834183302,68,0.027346216585635994,6,1.0,31.909335218716052,-0.00395080869702695
12,2017-12-28,2018-12-28,2018-12-31,2019-04-01,-0.06018493353502883,73,0.0,0,0.0,0.0,0.0
13,2018-04-02,2019-04-01,2019-04-02,2019-07-01,-0.006664183036946633,67,0.005178687699466973,5,0.6,3.0033685806437007,-0.002857104994682013
14,2018-06-29,2019-07-01,2019-07-02,2019-09-30,0.00250335285329842,75,0.007281355392910336,5,0.6,6.69901898575483,-0.0018721938350767596
15,2018-09-28,2019-09-30,2019-10-01,2019-12-30,0.07685425223214246,59,-0.006116030439681344,5,0.2,-11.207222600761195,-0.0027259944075960084
16,2018-12-31,2019-12-30,2019-12-31,2020-03-31,0.06561232525021056,62,0.0,0,0.0,0.0,0.0
17,2019-04-02,2020-03-31,2020-04-01,2020-06-30,-0.08797247969971969,71,-0.0012514073148508032,3,0.3333333333333333,-1.9280691235562746,-0.013105453841053823
18,2019-07-02,2020-06-30,2020-07-01,2020-09-29,0.008931014086519135,78,-0.001694450471267337,4,0.5,-4.655422979017107,-0.0038238000101057695
19,2019-10-01,2020-09-29,2020-09-30,2020-12-29,-0.08313538133275972,85,-1.0369466538832057e-05,5,0.4,-2.148438911388487,-0.002810573814206582
20,2019-12-31,2020-12-29,2020-12-30,2021-03-31,0.23639856293748365,70,0.005361673949957621,5,0.6,4.333173458739842,-0.0011004420081345597
21,2020-04-01,2021-03-31,2021-04-01,2021-06-30,0.19106283891851183,80,-0.0020439867382323427,6,0.3333333333333333,-2.4684236317709156,-0.0053321290126699325
22,2020-07-01,2021-06-30,2021-07-01,2021-09-29,0.17099061007432842,72,0.00020987167338476866,5,0.6,-0.6880271235220252,-0.005731317687729606
23,2020-09-30,2021-09-29,2021-09-30,2021-12-29,0.07124622760040278,87,9.221914607216605e-05,2,0.5,-1.354552569053167,-0.0020942712624627165
24,2020-12-30,2021-12-29,2021-12-30,2022-03-30,0.07664688490009895,70,0.0043421055193987555,5,0.6,2.9235219477987933,-0.0022112682567280717
25,2021-04-01,2022-03-30,2022-03-31,2022-06-30,-0.03439618717797304,76,-0.000855935713466606,2,0.5,-0.3715579589732031,-0.000634121262069944
26,2021-07-01,2022-06-30,2022-07-01,2022-09-29,-0.03585721284295112,87,-0.001898043868210225,1,0.0,0.0,0.0
27,2021-09-30,2022-09-29,2022-09-30,2022-12-29,-0.1514463693830042,87,-0.00015384447913325858,1,0.0,0.0,-0.0002963925931468839
28,2021-12-30,2022-12-29,2022-12-30,2023-03-31,-0.009615859940407681,77,0.0013107343877846141,1,1.0,0.0,-0.0019331278648704756
29,2022-03-31,2023-03-31,2023-04-03,2023-07-03,-0.02110996364497958,78,0.019332477410571737,5,1.0,13.593337117244308,0.0
30,2022-07-01,2023-07-03,2023-07-05,2023-10-02,0.05160732195756485,78,-0.0063135444121164615,5,0.4,-2.999642093262111,-0.007039179440706955
31,2022-09-30,2023-10-02,2023-10-03,2024-01-02,0.10893198170267278,80,0.017498612249659054,5,0.8,10.940181078429964,0.0
32,2022-12-30,2024-01-02,2024-01-03,2024-04-03,0.13719059715008858,63,-0.0003930152785213431,5,0.4,-2.1382764386367796,-0.002379478008392907
33,2023-04-03,2024-04-03,2024-04-04,2024-07-03,0.08459096446102732,67,-0.004088651222226763,6,0.3333333333333333,1.1583723554306151,-0.013511292294423766
34,2023-07-05,2024-07-03,2024-07-05,2024-10-02,0.06652788301605483,67,-0.0005973726750623609,5,0.4,-1.3566195145587643,-0.0015320724823055206
