Risk Metric,Value
Volatility (Quarterly),0.008041437314261211
Volatility (Annualized),0.016082874628522422
Downside Deviation,0.005771250489224874
Sortino Ratio (Ann.),0.47716966687490187
Maximum Drawdown,-0.02661352211933099
Average Drawdown,-0.0066651727724567
Calmar Ratio,0.20695236512079326
Value at Risk (95%),-0.008833832547992278
CVaR / Expected Shortfall,-0.00927035094560626
Win Rate,0.5
Average Win,0.0072255322456090745
Average Loss,-0.005067888781842563
Win/Loss Ratio,1.425747990267072
Best Fold Return,0.025932632255210773
Worst Fold Return,-0.009314663932991098
