fold,train_start,train_end,test_start,test_end,train_return,train_trades,test_return,test_trades,test_win_rate,test_sharpe,test_max_dd,spy_return,regime
1,2015-03-31,2016-03-30,2016-03-31,2016-06-28,-0.02110005089568571,91,0.003867016070365789,5,0.8,8.70064359919252,-0.009679858489854653,-0.011288474484182465,Other
2,2015-06-30,2016-06-28,2016-06-29,2016-09-27,0.005051393416905194,78,0.00022829343362813233,5,0.6,3.3064410814771406,-0.005223757568544175,0.043114310965934655,Other
3,2015-09-29,2016-09-27,2016-09-28,2016-12-27,0.04689656183878498,71,0.00022383521690353517,1,1.0,0.0,-0.0001517216130066663,0.044451647479429646,Other
4,2015-12-29,2016-12-27,2016-12-28,2017-03-29,0.1096869887053917,63,0.012640383419551945,5,0.8,10.183741654665775,-9.248345730082716e-05,0.049643492391480804,Other
5,2016-03-31,2017-03-29,2017-03-30,2017-06-28,0.14819773435260825,59,-0.0062795486955450905,5,0.4,-7.070976068267076,-0.01004597625307084,0.030471083886791872,Other
6,2016-06-29,2017-06-28,2017-06-29,2017-09-27,0.07524305572554062,56,-0.008622645019407354,5,0.2,-8.497482959627106,-0.00962093016039294,0.036047220750890396,Other
7,2016-09-28,2017-09-27,2017-09-28,2017-12-27,0.050519527301330816,51,-0.0014015229919053672,5,0.6,-0.5504551777262273,-0.0023427251176453136,0.06778510408218774,Other
8,2016-12-28,2017-12-27,2017-12-28,2018-03-29,0.10892665126627908,51,-0.006968253045024903,6,0.5,-1.2752295772156952,-0.011559157188491953,-0.0176204924281953,Other
9,2017-03-30,2018-03-29,2018-04-02,2018-06-28,0.04804330906528936,57,-0.0036129968331145936,5,0.4,-1.9025835150602504,-0.0050508258649350725,0.052122629293153144,Other
10,2017-06-29,2018-06-28,2018-06-29,2018-09-27,0.049399364895181645,57,0.005709320133247529,5,0.6,2.526405952963552,-0.0021935603611182887,0.07154970417815654,Other
11,2017-09-28,2018-09-27,2018-09-28,2018-12-28,0.06357297444344513,65,0.025932632255210773,6,1.0,28.574678414607376,-0.002239622747077956,-0.14780545211982854,Other
12,2017-12-28,2018-12-28,2018-12-31,2019-04-01,-0.0816590356867171,80,0.012087958218345738,3,1.0,11.104127162509295,0.0,0.14368593416460107,Other
13,2018-04-02,2019-04-01,2019-04-02,2019-07-01,0.03458223678004666,72,0.005204651407070051,5,0.6,3.5120454355376998,-0.002800243798618321,0.033884681610109935,Other
14,2018-06-29,2019-07-01,2019-07-02,2019-09-30,0.02519179944236821,78,0.008801954593544069,5,0.8,11.956282365213639,-0.002877759631728986,0.0011469700984760856,Other
15,2018-09-28,2019-09-30,2019-10-01,2019-12-30,0.0808634473048785,62,-0.006606115845489694,5,0.4,-7.18045535666544,-0.002661035383109993,0.09493928954109987,Other
16,2018-12-31,2019-12-30,2019-12-31,2020-03-31,0.07466471238050013,65,0.0,0,0.0,0.0,0.0,-0.1991859450361193,Other
17,2019-04-02,2020-03-31,2020-04-01,2020-06-30,-0.11806395332169049,72,-0.00259539683223702,4,0.5,-1.2319849898500814,-0.017048582640838576,0.2527320454910913,Bull
18,2019-07-02,2020-06-30,2020-07-01,2020-09-29,-0.09778483858195293,80,0.0030746639195251917,4,0.5,2.404622302032483,0.0,0.07036586009460932,Bull
19,2019-10-01,2020-09-29,2020-09-30,2020-12-29,-0.09358220168033571,98,0.004872097546615696,5,0.8,5.788740554991163,-0.001215744938163698,0.10919996179949187,Bull
20,2019-12-31,2020-12-29,2020-12-30,2021-03-31,0.2357184066722769,76,0.004657364502143755,5,0.6,3.3092497204582423,-0.0011013146863938891,0.06543185832112042,Bull
21,2020-04-01,2021-03-31,2021-04-01,2021-06-30,0.10622108574639308,85,0.0024287956576538273,6,0.5,0.7476920667001417,-0.0032451943093871525,0.06852053920458823,Bull
22,2020-07-01,2021-06-30,2021-07-01,2021-09-29,0.10956004457040398,80,-0.00546985940430619,6,0.3333333333333333,-4.78346994820131,-0.005552567339363013,0.009339543246648319,Bull
23,2020-09-30,2021-09-29,2021-09-30,2021-12-29,0.019250288552413404,86,0.0059315911475753815,4,0.75,15.819832567790405,-0.003592549372671303,0.11264388005740278,Bull
24,2020-12-30,2021-12-29,2021-12-30,2022-03-30,0.005497835577106016,74,0.00017131058811180991,5,0.6,1.4488032589614106,-0.0035707233612824346,-0.03666832854669588,Bull
25,2021-04-01,2022-03-30,2022-03-31,2022-06-30,-0.0366078982598208,78,-0.0008468509582137631,2,0.5,-0.3714081035297584,-0.000629438343149159,-0.1647108587274838,Bear
26,2021-07-01,2022-06-30,2022-07-01,2022-09-29,-0.00917647202552791,78,-0.004572337279968342,2,0.0,0.0,-0.0002137136405945057,-0.04839466520317193,Bear
27,2021-09-30,2022-09-29,2022-09-30,2022-12-29,-0.12407008797759045,82,-0.0015694740278244716,5,0.6,2.664478754130228,-0.006848430099487305,0.07352038273168815,Bear
28,2021-12-30,2022-12-29,2022-12-30,2023-03-31,-0.0007728087519932888,78,0.0,0,0.0,0.0,0.0,0.0704966202677324,Bear
29,2022-03-31,2023-03-31,2023-04-03,2023-07-03,0.009363548596954497,70,0.022782383297977504,5,1.0,16.040974116843014,0.0,0.07991238681688184,Recovery
30,2022-07-01,2023-07-03,2023-07-05,2023-10-02,0.07804697227786994,77,-0.006211468322982837,5,0.4,-2.9997720509052916,-0.007013230687794697,-0.035700600613588374,Recovery
31,2022-09-30,2023-10-02,2023-10-03,2024-01-02,0.0042426007668593954,77,0.004219796767883526,5,0.4,0.849560223061634,-0.0023396305320909907,0.12111292488465697,Recovery
32,2022-12-30,2024-01-02,2024-01-03,2024-04-03,0.1844664768369861,72,-0.009226037958221424,5,0.2,-5.14702379760593,-0.0036275958116151743,0.10798004154723517,Bull
33,2023-04-03,2024-04-03,2024-04-04,2024-07-03,0.12562526983842837,69,-0.009314663932991098,6,0.16666666666666666,-10.245769193959926,-0.011482503829460184,0.07482412555871365,Bull
34,2023-07-05,2024-07-03,2024-07-05,2024-10-02,0.08110670487842538,68,-0.0027211605804062858,5,0.4,-4.710964599813125,-0.0018180793628311948,0.025638198340482976,Bull
